# xAmp_30,yAmp_30,xAmp_15,yAmp_15,xQ_30,xQ_15,yQ_15,kiruna_Q
5.60,10.10,5.60,4.80,0,0,0,0
6.90,5.30,4.20,4.40,0,0,0,0
5.70,4.90,5.70,4.30,0,0,0,0
6.00,5.10,3.90,3.40,0,0,0,0
4.40,3.60,3.30,2.70,0,0,0,0
5.30,4.60,5.30,4.10,0,0,0,0
8.30,5.70,7.60,5.70,0,0,0,0
7.90,5.70,4.70,3.80,0,0,0,0
5.80,5.80,5.80,5.80,0,0,0,0
7.70,6.30,7.50,5.20,0,0,0,0
7.50,7.40,4.80,4.30,0,0,0,0
6.10,7.10,5.10,5.20,0,0,0,0
6.50,5.50,4.70,4.20,0,0,0,0
5.60,4.20,4.90,3.70,0,0,0,0
5.00,4.40,4.60,2.90,0,0,0,0
5.80,4.20,5.20,3.60,0,0,0,0
6.80,4.00,4.90,3.70,0,0,0,0
9.30,8.50,9.30,6.90,0,0,0,0
16.00,13.80,12.20,12.80,1,0,0,1
17.60,13.90,17.60,10.50,1,1,0,1
22.90,11.10,22.90,10.80,1,1,0,2
22.90,10.80,10.30,4.80,1,0,0,1
21.00,8.50,21.00,5.30,1,1,0,2
21.00,8.10,8.40,8.10,1,0,0,0
10.70,8.60,6.00,3.10,0,0,0,0
8.50,3.50,6.00,2.90,0,0,0,0
10.20,5.20,7.70,5.20,0,0,0,1
22.90,10.10,22.90,10.10,1,1,0,2
23.80,11.00,21.20,11.00,1,1,0,2
21.20,11.00,12.70,5.60,1,0,0,1
12.70,6.60,5.10,3.30,0,0,0,0
6.90,4.40,5.00,3.70,0,0,0,0
5.80,3.70,5.10,2.40,0,0,0,0
5.60,3.60,4.20,3.10,0,0,0,0
4.90,3.90,4.50,2.90,0,0,0,0
5.50,3.20,4.30,2.80,0,0,0,0
7.50,3.00,7.50,2.60,0,0,0,0
8.20,3.50,5.40,3.10,0,0,0,0
7.90,3.80,5.90,3.80,0,0,0,0
6.30,3.80,4.70,2.50,0,0,0,0
5.40,3.80,4.00,3.50,0,0,0,0
5.00,4.50,5.00,2.50,0,0,0,0
5.00,2.80,4.30,2.20,0,0,0,0
15.20,6.20,15.20,6.20,1,1,0,1
15.20,9.40,9.00,9.30,1,0,0,0
13.00,13.20,12.50,13.20,0,0,0,1
22.20,18.40,17.30,12.00,1,1,0,1
23.10,15.00,15.90,11.70,1,1,0,1
45.40,65.10,44.00,63.60,2,2,3,3
57.00,63.60,49.80,17.00,2,2,1,3
62.70,38.50,17.50,21.80,3,1,1,1
18.80,35.40,16.60,35.20,1,1,2,2
19.70,35.40,14.40,13.20,1,0,0,1
27.20,25.60,15.70,13.10,1,1,0,1
19.30,18.30,9.80,6.10,1,0,0,0
23.40,13.00,23.40,12.10,1,1,0,2
26.00,20.00,11.50,17.20,1,0,1,1
13.70,21.20,13.70,6.30,0,0,0,1
82.10,13.20,75.10,13.20,3,3,0,3
174.50,108.40,114.70,108.40,4,3,3,5
297.10,108.40,203.40,89.50,5,4,3,4
203.40,89.50,41.30,30.60,4,2,2,3
168.20,58.60,154.20,56.90,4,4,2,5
206.00,130.20,134.40,72.90,4,4,3,4
134.40,94.80,54.20,32.50,4,2,2,3
158.70,56.30,106.20,38.50,4,3,2,4
106.20,38.50,52.10,16.40,3,2,1,3
